batter,b_called_strike,b_swinging_strike,poorlyweak_percent
405395,210,115,2.2
408234,321,259,3.3
425784,50,56,7
425794,44,48,45.7
425877,209,229,2.7
435559,145,97,3.9
443558,267,344,3
444482,354,204,3.3
444489,148,82,4.9
444876,224,156,10.5
445055,9,5,0
446334,214,123,0
446653,7,13,0
448179,13,24,56.3
450203,66,39,29
451594,9,14,0
452657,52,30,16
452678,224,167,3.9
453281,11,2,20
453286,52,40,14.3
453562,44,18,54.5
453568,348,205,4.7
453943,25,13,0
455117,366,221,4.5
455139,72,72,8.1
456034,6,6,26.7
456501,31,13,28
456715,196,111,2.9
456781,220,133,3.5
457705,426,249,3.9
457708,257,215,3.3
457727,22,21,6.3
457759,414,194,1.1
457763,293,187,4.5
457803,25,29,9.5
457918,17,5,11.1
458015,351,288,1.2
458731,476,144,6.7
459964,45,37,5
460077,28,24,20
461865,36,35,8.3
462101,357,197,4.5
467055,54,57,2.1
467092,79,81,3.4
467793,415,261,3.2
467827,71,54,4.3
471911,17,14,55.6
474463,38,15,43.8
474568,116,54,7.1
474832,187,211,7.2
475582,211,148,2.8
476704,293,230,1.4
477132,36,21,22.2
488671,98,69,5.7
488726,357,93,3.4
488771,141,107,5.2
489119,16,28,14
493329,425,136,2.3
493472,7,5,0
500743,344,176,3.8
500871,342,284,5.2
501303,146,79,9.7
501571,224,151,7.1
501659,138,76,3.6
501981,53,85,5.5
502043,23,11,20
502054,479,214,3.1
502110,272,382,2.6
502179,37,19,27.8
502210,85,66,4.1
502273,44,39,12.8
502481,97,67,15.1
502624,8,12,62.5
502671,513,302,1.7
503556,231,135,6.5
506433,63,26,13.8
506702,195,112,4.3
506703,19,11,12.9
514888,440,187,6.2
514917,396,255,5.7
516416,388,182,6.8
516770,239,132,3.1
516782,295,238,7.3
518516,45,53,15.4
518586,150,163,8.5
518595,124,110,3.8
518626,317,265,1.7
518692,287,289,2.6
518735,375,132,2.5
518792,256,141,3.9
518876,57,32,44.4
518902,12,5,0
518934,553,158,2.6
518960,24,6,6.3
519043,27,11,28.6
519048,149,143,1.1
519058,111,112,3.6
519203,396,216,2.9
519222,37,40,2.6
519299,165,35,6.4
519306,31,15,0
519317,416,350,2.5
519390,174,122,2.6
520471,260,155,4.9
521692,223,474,2.9
527038,309,130,2.7
534606,15,14,6.7
541600,9,9,28.6
541645,159,343,3.5
541650,15,19,11.1
542255,54,34,6.7
542303,111,100,4.2
542340,262,296,4.3
542364,233,127,4.8
542454,61,101,5.8
542583,377,240,2.5
542881,41,47,20
542932,206,105,5.1
542963,14,12,6.3
542992,16,3,0
543063,243,323,3.4
543068,350,283,4.5
543101,65,34,40
543105,171,175,6.3
543228,235,141,1.8
543243,29,16,21.9
543257,554,234,3.4
543281,247,195,3.5
543294,62,16,36.4
543305,91,61,1.3
543308,11,31,4.3
543309,140,119,2.2
543333,353,243,5.8
543432,19,18,5.3
543510,225,220,6.8
543543,247,216,1.8
543592,123,38,2.6
543685,156,76,3.4
543760,460,284,1.8
543768,168,125,9
543807,191,164,5
543877,355,161,4.7
543939,303,163,4.9
544369,183,211,3.9
544725,228,214,7.8
545121,64,32,8.3
545333,32,17,18.2
545341,278,243,3.5
545350,104,127,5.2
545358,235,177,3.3
545361,107,66,6.6
546318,298,194,6.6
546990,91,103,2.7
546991,34,40,0
547001,3,8,37.5
547004,57,85,4.4
547172,30,15,15.4
547180,285,364,5
547379,133,101,8
547942,26,8,26.3
547989,422,349,2.1
553869,172,162,5.4
553882,191,200,5.1
553902,53,38,6.1
553993,418,302,4.4
554430,70,47,29.4
570256,238,228,5.4
570481,96,118,3.3
570482,239,229,2.6
570731,388,335,5
571431,16,17,18.5
571448,399,211,2.8
571466,199,201,4.8
571578,45,35,25
571657,352,195,4.8
571718,212,135,2.2
571740,78,91,10.7
571745,481,385,4.6
571771,374,238,1.2
571788,212,85,4.8
571875,121,81,2.1
571912,20,18,26.1
571918,10,12,0
571945,5,11,66.7
571970,487,214,3.4
571976,357,294,5.6
571980,190,240,6.5
572008,34,37,0
572039,88,101,5.6
572041,197,187,4.6
572122,353,375,3.8
572191,276,339,3.5
572204,28,17,0
572228,108,202,4.3
572233,196,260,3.4
572287,233,273,6.4
572761,217,129,3.1
572816,177,196,3.7
572863,43,47,10.9
573131,302,131,1.7
573186,37,34,43.3
573262,348,234,3.2
575929,317,306,3.6
578428,314,193,6.1
591720,187,87,10.2
591971,107,10,7.8
592178,299,305,5
592192,539,230,4.8
592200,139,123,6.7
592206,218,361,6.3
592261,45,24,10.5
592273,58,40,6.5
592325,276,192,5
592332,58,34,34.5
592346,37,18,35.3
592348,220,241,3.2
592351,58,39,22.2
592407,23,34,0
592444,68,76,0
592450,451,328,1.8
592518,344,247,2.7
592530,85,74,1.5
592567,202,183,4.7
592622,16,12,6.7
592626,300,246,5
592656,23,26,5.1
592663,305,280,3.7
592669,368,274,3.3
592696,189,155,4.3
592716,10,9,100
592717,4,11,0
592743,314,122,7.9
592761,32,13,55.6
592767,36,23,20.8
592826,18,12,36.8
592836,52,33,25
592859,59,51,11.9
592863,21,18,4.2
592866,37,6,22.2
592885,340,207,3.1
593160,393,236,3.3
593372,23,20,30
593428,461,252,3.1
593528,5,12,40
593590,48,28,7.5
593643,69,82,8.6
593871,385,243,5
593934,345,374,4.5
594694,99,138,7.8
594777,75,121,4
594798,13,22,8.3
594807,361,316,4.4
594809,195,129,9
594838,309,137,4.5
594988,14,31,0
595281,189,241,5.9
595284,80,131,14
595453,50,63,3.3
595751,118,217,4.6
595777,301,136,6.5
595879,219,476,4.4
595909,126,106,5.8
595943,157,98,5
595956,76,33,7.4
595978,159,188,8.1
595981,26,29,6.7
596019,294,230,5.2
596056,109,32,2.8
596059,174,198,7.6
596103,237,162,6.8
596115,303,335,2
596117,20,13,13.8
596129,294,75,2.5
596133,17,21,22.2
596142,340,239,3.1
596146,276,193,3.6
596295,19,15,35.7
596451,52,31,15.2
596748,252,177,2.6
596825,84,88,6.1
596847,215,172,3.5
598265,284,276,3.5
600301,13,20,5.6
600303,248,50,3.1
600474,275,239,6.2
600524,39,31,8.1
600869,396,284,3.6
602074,197,121,6
602104,230,142,3.2
602922,81,41,10.8
605113,296,237,4.5
605119,142,145,1.8
605131,154,105,9
605137,286,246,2.3
605141,435,151,2.6
605170,227,150,3.8
605200,49,5,33.3
605204,98,183,2.7
605244,51,51,8.1
605288,56,42,21.4
605346,6,15,22.2
605353,19,19,12.5
605361,27,16,3.4
605397,25,39,27.3
605400,79,12,35.7
